review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person
0,"Espectacular!!! Probablemente uno de los restaurantes con mejor cocina de Zaragoza y a un precio mucho más que razonable. Probamos muchos platos (tomate en 4 texturas, carpaccio de presa, canelón de carne rustida, ravioli de setas, brandada de bacalao...) y todos estaban impresionantes. Nos encantaron también la sobrasada con miel casera y fritada de verduras de Aragón y la tarta de manzana del revés, super original. No dejéis de probarlas! Despista el nombre de cervecería, porque realmente aquí hay cocina. Ambiente muy acogedor y con buena música de fondo. Volveremos seguro! Gracias por hacernos disfrutar tanto :-)",35,5,,,30-40 €,5.0,5.0,5.0,[''],2024-07-01,40
1,"La comida es excepcional! Las migas, las croquetas, los langostinos en tempura, la panceta y los postres. Merece la pena probarlo!! El restaurante es muy sencillo en cuanto a decoración. Pero lo suplen con la comida tan rica que sirven. Repetiremos y recomendamos!!",28,5,,,,5.0,4.0,4.0,[''],2024-07-01,
2,"Cenamos en familia y fue una experiencia gastronómica sublime, enhorabuena por el gran trabajo que conlleva la creatividad junto con el gusto exquisito que deleita al paladar.
Trato educadisimo, no puedo decantarme por ningún plato, todos mis favoritos.Hay que dejar sitio para los postres porque son una sorpresa. 10/10.",3,5,,,20-30 €,5.0,5.0,5.0,"['Brandada de Bacalao', 'Cremoso de Chocolate Blanco', 'Langostinos Crujientes', 'Tarta de Manzana Al Revés Con Helado de Canela', 'Croquetas de Jamón Y Gallina', 'Bandada de Bacalao Asadillo de Verduras Romesco Y Ajo Negro', 'Burrata Con Tomate Con Salmorejo', 'Carpaccio de Presa Iberica', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante', 'Flan de Queso', 'Tartar de Tomate', 'Ravioli de Setas']",2024-08-01,30
3,"Espacio confortable aún estando en la barra japonesa. Todo muy rico, croquetas de bacon, espárrago, sobretodo el canelón, y la tarta de manzana.

Por poner pegas, la ración de pan me parece escasa ya que la pagas, en cualquier caso detalle menor.

Repetiremos.",16,5,,,20-30 €,5.0,5.0,5.0,['Tarta de Manzana Al Revés Con Helado de Canela'],2024-05-01,30
4,"SIEMPRE DE 10!
Hemos venido varias veces y tanto la comida como la atención son insuperables. Todos los platos están espectaculares, pero los ravioli y la panceta son de otro planeta 😍. Repetiremos!",54,5,,,,5.0,5.0,5.0,"['Tarta de Manzana Al Revés Con Helado de Canela', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante', 'Ravioli de Setas']",2024-09-02,
5,"Fuimos recomendados por un amigo y fue todo un acierto.
La atención desde que entramos fue espectacular, ambas camareras eran súper amables y súper atentas.
Probamos ambas croquetas y estaban buenísimas, el carpaccio es una ración generosa y muy sabrosa (combina espectacular con los kikos), el canelón es una m a r a v i l l a!!, la panceta era muy tierna pero quizás el chimichurri estaba muy alto en vinagre y se comía mucho sabor. Tuvimos l suerte de encontrar fuera de carta un flan de queso, que está dentro de mis postres favoritos en toda zaragoza
Volveremos seguro
100% recomendable",158,5,,,30-40 €,5.0,5.0,5.0,[''],2024-03-01,40
6,"Un sitio muy interesante para visitar. El servicio es espectacular las dos personas que te atienden en sala son encantadoras, y ya con eso te han ganado. Si a eso le unimos una comida súper rica…que más puedes pedir!!!!",103,5,,,20-30 €,5.0,5.0,5.0,"['Cremoso de Chocolate Blanco', 'Burrata Con Tomate Con Salmorejo', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante', 'Flan de Queso', 'Ravioli de Setas']",2024-04-01,30
7,"Sitio de nivel. La comida relación calidad-precio muy alta, ambiente muy acogedor y la atención inmejorable. Para repetir sin duda.
¡Y no te puedes ir sin probar la panceta asada!",9,5,,,,5.0,5.0,5.0,['Panceta Asada Mojo Rojo Y Chimichurri Casero Picante'],2024-01-01,
8,"Fuimos de celebración,el sitio es pequeño, de ambiente tranquilo, el trato es excelente y la comida es abundante así que es un buen sitio para compartir platos.
Sin duda es para repertir estaba todo delicioso, pedimos carpaccio de presa ibérica, un canelón que estaba fuera de carta, y obviamente el plato estrella la panceta, el postre un sorbete espectacular presentacion incluida
Nota! Hay que reservar con antelación porque es pequeño el sitio.",40,5,,,30-40 €,5.0,5.0,5.0,[''],2024-03-01,40
9,"Es un sitio donde la comida es sencillamente de nivel. Comiendo bien, sales por unos 30-35€. La relación calidad/precio es muy alta.
Le daría cinco estrellas, ya que tanto la comida como el servicio son de 10, pero hay un detalle y es que cobran el servicio de pan. Están en su derecho de hacerlo, por supuesto, pero creo que es poco elegante en un sitio de calidad y además no lo advierten.

En resumen, totalmente recomendable!",64,4,,,,5.0,5.0,5.0,[''],2023-01-01,
10,"Absolutamente todos los platos que probamos estaban buenos! Recomiendo encarecidamente la panceta, se deshacía en la boca, nada grasa y súper sabrosa. Si quieres sorprenderte la crema de cebolla es tu plato. Volveremos a seguir probando platos. Raciones abundantes y el personal muy atento y amable.",231,5,,,20-30 €,5.0,5.0,5.0,[''],2023-01-01,30
11,"Volvemos al 17punto10 y… que gozada!!!

Un servicio muy bueno, en un local muy tranquilo para disfrutar de una carta genial, de las que te quedarías una semana para acabártela.

Que rico todo! Nunca me había emocionado el carpaccio y con este flipamos mucho.

Genial para compartir platos, hasta 4 comensales, probar un poco de todo y salir muy contento.

Volveremos para seguir probando delicias.",69,5,,,,,,,[''],2023-01-01,
12,"El sitio está un poco escondido, difícil para aparcar pero la atención recibida y los platos que pudimos probar fueron altamente satisfactorios. A destacar la crema de cebollas de fuentes, las croquetas. El local es amplio y por poner una pega, los postres eran un poco pesados y demasiado dulzones para nuestro gusto. En general, un restaurante con muy buenas maneras y buenos platos, cosa no fácil hoy en día",82,4,,,40-50 €,4.0,4.0,3.0,[''],2023-11-01,50
13,"Empezamos con las croquetas de bacon ibérico, ¡estaban de muerte! Muy cremosas

Las colas de langostino 🍤 no fueron nuestro plato favorito, aunque estaban ricas. ‍

Luego llegó el pulpo con oreja 🐙 (fuera de carta), ¡nos encantó! Somos fans del pulpo y este estaba perfecto.

Y como no podía faltar, la panceta 🥓, el plato estrella del lugar. ¡Simplemente espectacular!

Para cerrar con broche de oro, la crema de limón con sorbete 🍋, refrescante y deliciosa.
Sin duda, repetiremos seguro. ¡Recomendable 100%!",78,5,,,30-40 €,5.0,5.0,5.0,['Panceta Asada Mojo Rojo Y Chimichurri Casero Picante'],2024-02-01,40
14,"Bonito restaurante en el centro aunque a su vez apartado de otros. Platos con buena presentación y buen sabor, aunque a mi gusto algunos con exceso de mayonesa o salsas similares. Recomendable, creo que volveré.",227,4,,,20-30 €,,,,"['Croquetas de Jamón Y Gallina', 'Bandada de Bacalao Asadillo de Verduras Romesco Y Ajo Negro']",2023-01-01,30
15,"Platos muy elaborados, sabores espectaculares! Las croquetas, sublimes. Por supuesto, debes pedir la panceta!!!",311,5,,,40-50 €,5.0,5.0,5.0,"['Langostinos Crujientes', 'Croquetas de Jamón Y Gallina', 'Carpaccio de Presa Iberica', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante', 'Carpaccio de Lomo de Vaca']",2024-04-01,50
16,"Un imprescindible en Zaragoza!
Excelente calidad en los platos. Cuidando mucho el detalle.

Probamos la sobrasada, la panceta y el ravioli que estaba todo riquísimo! Sin desmerecer a las croquetas, que siempre son un éxito! 😋

Pero el gran descubrimiento fue la oreja con puré de patata!! Estaba muy muy tierna y sabrosa!

La atención es estupenda, las camareras son muy simpáticas y te aconsejan la cantidad a pedir.

Súper recomendable!!! 🙌🙌",104,5,Comí allí,Cena,20-30 €,,,,"['Croquetas de Jamón Y Gallina', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante', 'Oreja A la Plancha Con Patatas Revolconas']",2023-01-01,30
17,"Fuimos en grupo a comer aprovechando el puente.
El local está algo alejado de la zona céntrica de bares pero merece la pena acercarse dando un paseo.
La relación calidad precio es muy buena.

Platos muy ricos, mención especial a las croquetas de jamón y gallina (riquísimas).",32,5,Comí allí,Comida,20-30 €,5.0,5.0,5.0,"['Croquetas de Jamón Y Gallina', 'Burrata Con Tomate Con Salmorejo']",2023-01-01,30
18,"Atención y comida maravillosa.
No sabría elegir qué me ha gustado más, todo espectacular a un precio genial.
Muy sorprendente y recomendable el postre de fruta de la pasión!!
Como detalle, en el momento pedimos una vela para poner en el postre ya que era celebración de cumpleaños: trajeron un plato, con una vela en una nube de chuche y nata, y en el plato escrito felicidades. Un detalle que nos encantó y dice mucho de ellos.",54,5,,,,,,,[''],2023-01-01,
19,"Espectacular comida, trato y ambiente. Servicio impecable, comida sabrosa e innovadora. Con especial reseña en la crema de cebolla de Las Fuentes, increíble.
Gran descubrimiento. Repetiremos fijo.",118,5,,,30-40 €,5.0,5.0,4.0,"['Croquetas de Jamón Y Gallina', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante']",2023-10-01,40
20,"Una visita en este lugar! Entre la ensalada dé burrata ( 15€) colas de langostino (15€) y un carpaccio también sobre los (15€) un total de 45€ un poco exuberante sin contar las bebidas las croquetas y el postre.  para un resultado final sobre los 60 € entre dos personas, la atención fue buena, imposible para aparcar.",39,3,,,,,,,[''],2023-01-01,
21,"Fuimos el fin de semana a Zaragoza y nos gustaron mucho las reseñas de este sitio (spoiler: totalmente ciertas)

Llegamos pronto, pero no habíamos reservado mesa. A pesar de todo nos hicieron un hueco ya que estaban completos y gracias a Dios... Porque menudo arroz cremoso con parmesano que tienen... Vayas a la hora que vayas el día que sea, elección obligatoria!! Posiblemente haya sido el mejor arroz de este estilo que he probado. Lo acompañamos de un carpaccio y una croqueta de cada para dos personas, nos quedamos muy bien con esa cantidad. De postre compartimos la tartaleta de manzana y el flan de queso (fuera de carta)

Si que es verdad que esperaba algo más de variedad en las cervezas, ya que en el cartel pone ""cervecería"" y solo había dos opciones.

La amabilidad del personal también resalta por encima de la media.",34,5,,,,,,,[''],2023-01-01,
22,"Uno de los mejores lugares de Zaragoza en relación calidad-precio.

Cocina con mucho sabor y matices. Una carta muy variada y sugerencias fuera de carta fantásticas.

Decoración moderna y servicio muy amable, siempre recomendable.",285,4,,Comida,30-40 €,4.0,4.0,4.0,"['Burrata Con Tomate Con Salmorejo', 'Panceta Asada Mojo Rojo Y Chimichurri Casero Picante']",2023-01-01,40
23,"Un sitio muy agradable en el que probar comida de alta calidad y nuevos sabores.
Llamé en el día para realizar la reserva, y dado que tenían una gran cantidad de clientela, nos pudieron sentar en la barra, que está a la altura de una mesa normal y se podía comer confortablemente.
Las camareras, tuvieron un gran trato y fueron muy amables en todo momento.

Para comer, pedimos un foie, fuera de carta, acompañado de unas tostadas, la única pega posible, la cantidad de mostaza que venía acompañando el plato, que para nuestro gusto, le quitaba un poco el sabor.
El huevo poché,sin embargo, tenía otro concepto al que estábamos acostumbrados y no nos convenció mucho.
Para finalizar, probamos el carpaccio de lomo, que estaba espectacular; y haciendo honor al sitio, no nos quedamos con las ganas de testar la panceta asada.
Como culmen, los postres, nos sorprendieron gratamente, ya que tenían un estilo de alta cocina con el que sorprender todos tus sentidos, de obligado pedimento tanto La Crema de Fruta de la Pasión como El Cremoso de Chocolate Blanco.",11,5,Comí allí,Cena,70-80 €,,,,[''],2023-01-01,80
24,"Una maravilla de restaurante. Personal amabilísimo, comida siempre espectacular y precio muy competitivo. El local estaba lleno, pero sin agobiar. Pedimos croquetas, Ravioli de setas, un sashimi de atún y espárragos de Navarra con vichysoise que tenían fuera de carta, pimienticos asados, sobrasada y panceta. Todo para compartir y todo riquísimo.",31,5,Comí allí,Comida,20-30 €,5.0,5.0,5.0,[''],2023-01-01,30
25,"El pasado sábado descubrimos este estupendo restaurante,  una oferta muy variada de platos. Elegimos varios para compartir y estaban todos riquísimos. Buen equilibrio entre la calidad y le precio. Atención muy amable. Seguro que repetimos",21,5,,,20-30 €,5.0,5.0,5.0,[''],2024-06-01,30
26,"De las mejores cenas de mi vida, sin rodeos, sitio al que hay que ir, muy recomendable reservar, todo exquisito, presentacion muy buena, camareros muy agradables y servicio muy rápido, el sitio es muy bonito también. Pedimos los langostinos, buenísimos, el risotto, buenísimo y distinto, la menestra de setas fuera de carta, buenísima y los raviolis, que fue lo único que no me convenció, porque me gusta la pasta más al dente, aunque eso es más personal, aún así todas las salsas de todos platos están tremendas, creo que nos comimos una barra de pan untando. Los postres muy bonitos y originales, tarta de manzana, cremoso de chocolate blanco y flan de queso, este último el que más nos gustó.",20,5,,,,,,,[''],2023-01-01,
27,"Ambiente muy bueno, sin ruidos y con un personal de 10. Fui a comer con mi pareja y nos trataron muy bien. La comida estaba buenísima. Comimos unas croquetas, el pulpo, los raviolis, el arroz caldoso y el postre de chocolate. Todo recomendado al 100%. No subo las fotos del pulpo porque están fatal hechas y las croquetas no hice foto.",33,5,Comí allí,Comida,,5.0,5.0,5.0,[''],2023-01-01,
28,"He ido a comer hoy con mi mujer por primera vez..
Comida excelente y atención maravillosa del personal....
No volveremos pronto... Sobre las marcha ya he reservado para ir a cenar hoy mismo con toda familia porque nos hemos quedado con ganas de probar más cosas...
Muy bueno!",13,5,,,20-30 €,5.0,5.0,5.0,['Panceta Asada Mojo Rojo Y Chimichurri Casero Picante'],2024-06-01,30
29,"Lugar reducido, pero con mucha calidad de materia prima. Sobre 30 comensales. Platos elaborados digno de un  restaurante de alto nivel. Mucho potencial por su calidad. Servicio muy rápido y se nota que están entrenados para dar a basto a más de dos servicios por mesa sin bajar su calidad. Los postres de cual más bueno. Volveremos.",47,5,,,,,,,[''],2020-01-01,
