author,local_guide_info,rating,review,date,text_backup
B Lana,35 reseñas · 245 fotos,5 estrellas,"Espectacular!!! Probablemente uno de los restaurantes con mejor cocina de Zaragoza y a un precio mucho más que razonable. Probamos muchos platos (tomate en 4 texturas, carpaccio de presa, canelón de carne rustida, ravioli de setas, brandada de bacalao...) y todos estaban impresionantes. Nos encantaron también la sobrasada con miel casera y fritada de verduras de Aragón y la tarta de manzana del revés, super original. No dejéis de probarlas! Despista el nombre de cervecería, porque realmente aquí hay cocina. Ambiente muy acogedor y con buena música de fondo. Volveremos seguro! Gracias por hacernos disfrutar tanto :-)",Hace 2 meses,"B Lana
35 reseñas · 245 fotos






Hace 2 meses
Espectacular!!! Probablemente uno de los restaurantes con mejor cocina de Zaragoza y a un precio mucho más que razonable. Probamos muchos platos (tomate en 4 texturas, carpaccio de presa, canelón de carne rustida, ravioli de setas, brandada de bacalao...) y todos estaban impresionantes. Nos encantaron también la sobrasada con miel casera y fritada de verduras de Aragón y la tarta de manzana del revés, super original. No dejéis de probarlas! Despista el nombre de cervecería, porque realmente aquí hay cocina. Ambiente muy acogedor y con buena música de fondo. Volveremos seguro! Gracias por hacernos disfrutar tanto :-)
Precio por persona
30-40 €
Comida: 5
Servicio: 5
Ambiente: 5
13 más

Me gusta

Compartir"
Beatriz N.,Local Guide · 28 reseñas · 8 fotos,5 estrellas,"La comida es excepcional! Las migas, las croquetas, los langostinos en tempura, la panceta y los postres. Merece la pena probarlo!! El restaurante es muy sencillo en cuanto a decoración. Pero lo suplen con la comida tan rica que sirven. Repetiremos y recomendamos!!",Hace 2 meses,"Beatriz N.
Local Guide · 28 reseñas · 8 fotos






Hace 2 meses
La comida es excepcional! Las migas, las croquetas, los langostinos en tempura, la panceta y los postres. Merece la pena probarlo!! El restaurante es muy sencillo en cuanto a decoración. Pero lo suplen con la comida tan rica que sirven. Repetiremos y recomendamos!!
Comida: 5
Servicio: 4
Ambiente: 4
3 más

Me gusta

Compartir"
Silvia Carbonell,3 reseñas · 6 fotos,5 estrellas,"Cenamos en familia y fue una experiencia gastronómica sublime, enhorabuena por el gran trabajo que conlleva la creatividad junto con el gusto exquisito que deleita al paladar.
Trato educadisimo, no puedo decantarme por ningún plato, todos mis favoritos.Hay que dejar sitio para los postres porque son una sorpresa. 10/10.",Hace un mes,"Silvia Carbonell
3 reseñas · 6 fotos






Hace un mes
Cenamos en familia y fue una experiencia gastronómica sublime, enhorabuena por el gran trabajo que conlleva la creatividad junto con el gusto exquisito que deleita al paladar.
Trato educadisimo, no puedo decantarme por ningún plato, todos mis favoritos.Hay que dejar sitio para los postres porque son una sorpresa. 10/10.
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Brandada de Bacalao, Cremoso de Chocolate Blanco, Langostinos Crujientes, Tarta de Manzana Al Revés Con Helado de Canela, Croquetas de Jamón Y Gallina, Bandada de Bacalao Asadillo de Verduras Romesco Y Ajo Negro, Burrata Con Tomate Con Salmorejo, Carpaccio de Presa Iberica, Panceta Asada Mojo Rojo Y Chimichurri Casero Picante, Flan de Queso, Tartar de Tomate y Ravioli de Setas
3 más

Me gusta

Compartir"
Carlos Casado,16 reseñas · 30 fotos,5 estrellas,"Espacio confortable aún estando en la barra japonesa. Todo muy rico, croquetas de bacon, espárrago, sobretodo el canelón, y la tarta de manzana.

Por poner pegas, la ración de pan me parece escasa ya que la pagas, en cualquier caso detalle menor.

Repetiremos.",Hace 4 meses,"Carlos Casado
16 reseñas · 30 fotos






Hace 4 meses
Espacio confortable aún estando en la barra japonesa. Todo muy rico, croquetas de bacon, espárrago, sobretodo el canelón, y la tarta de manzana.

Por poner pegas, la ración de pan me parece escasa ya que la pagas, en cualquier caso detalle menor.

Repetiremos.
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tarta de Manzana Al Revés Con Helado de Canela

Me gusta

Compartir
Respuesta del propietario Hace 4 meses
Hola, muchas gracias por la reseña, el pan cobramos una vez y podéis repetir las veces que queráis. La próxima pedir el que os apetezca."
Carolina Gonzalez,Local Guide · 54 reseñas · 66 fotos,5 estrellas,"SIEMPRE DE 10!
Hemos venido varias veces y tanto la comida como la atención son insuperables. Todos los platos están espectaculares, pero los ravioli y la panceta son de otro planeta 😍. Repetiremos!",Hace 3 semanas,"Carolina Gonzalez
Local Guide · 54 reseñas · 66 fotos






Hace 3 semanas
NUEVA
SIEMPRE DE 10!
Hemos venido varias veces y tanto la comida como la atención son insuperables. Todos los platos están espectaculares, pero los ravioli y la panceta son de otro planeta 😍. Repetiremos!
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tarta de Manzana Al Revés Con Helado de Canela, Panceta Asada Mojo Rojo Y Chimichurri Casero Picante y Ravioli de Setas
6 más

Me gusta

Compartir"
NMJ,Local Guide · 158 reseñas · 406 fotos,5 estrellas,"Fuimos recomendados por un amigo y fue todo un acierto.
La atención desde que entramos fue espectacular, ambas camareras eran súper amables y súper atentas.
Probamos ambas croquetas y estaban buenísimas, el carpaccio es una ración generosa y muy sabrosa (combina espectacular con los kikos), el canelón es una m a r a v i l l a!!, la panceta era muy tierna pero quizás el chimichurri estaba muy alto en vinagre y se comía mucho sabor. Tuvimos l suerte de encontrar fuera de carta un flan de queso, que está dentro de mis postres favoritos en toda zaragoza
Volveremos seguro
100% recomendable",Hace 6 meses,"NMJ
Local Guide · 158 reseñas · 406 fotos






Hace 6 meses
Fuimos recomendados por un amigo y fue todo un acierto.
La atención desde que entramos fue espectacular, ambas camareras eran súper amables y súper atentas.
Probamos ambas croquetas y estaban buenísimas, el carpaccio es una ración generosa y muy sabrosa (combina espectacular con los kikos), el canelón es una m a r a v i l l a!!, la panceta era muy tierna pero quizás el chimichurri estaba muy alto en vinagre y se comía mucho sabor. Tuvimos l suerte de encontrar fuera de carta un flan de queso, que está dentro de mis postres favoritos en toda zaragoza
Volveremos seguro
100% recomendable
Precio por persona
30-40 €
Comida: 5
Servicio: 5
Ambiente: 5
4 más

Me gusta

Compartir"
BEATRIZ SANJOAQUIN,Local Guide · 103 reseñas · 23 fotos,5 estrellas,"Un sitio muy interesante para visitar. El servicio es espectacular las dos personas que te atienden en sala son encantadoras, y ya con eso te han ganado. Si a eso le unimos una comida súper rica…que más puedes pedir!!!!",Hace 5 meses,"BEATRIZ SANJOAQUIN
Local Guide · 103 reseñas · 23 fotos






Hace 5 meses
Un sitio muy interesante para visitar. El servicio es espectacular las dos personas que te atienden en sala son encantadoras, y ya con eso te han ganado. Si a eso le unimos una comida súper rica…que más puedes pedir!!!!
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Cremoso de Chocolate Blanco, Burrata Con Tomate Con Salmorejo, Panceta Asada Mojo Rojo Y Chimichurri Casero Picante, Flan de Queso y Ravioli de Setas
0:08
3 más

Me gusta

Compartir"
Cristina Q,9 reseñas · 14 fotos,5 estrellas,"Sitio de nivel. La comida relación calidad-precio muy alta, ambiente muy acogedor y la atención inmejorable. Para repetir sin duda.
¡Y no te puedes ir sin probar la panceta asada!",Hace 8 meses,"Cristina Q
9 reseñas · 14 fotos






Hace 8 meses
Sitio de nivel. La comida relación calidad-precio muy alta, ambiente muy acogedor y la atención inmejorable. Para repetir sin duda.
¡Y no te puedes ir sin probar la panceta asada!
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Panceta Asada Mojo Rojo Y Chimichurri Casero Picante

Me gusta

Compartir"
Beatriz CD,Local Guide · 40 reseñas · 48 fotos,5 estrellas,"Fuimos de celebración,el sitio es pequeño, de ambiente tranquilo, el trato es excelente y la comida es abundante así que es un buen sitio para compartir platos.
Sin duda es para repertir estaba todo delicioso, pedimos carpaccio de presa ibérica, un canelón que estaba fuera de carta, y obviamente el plato estrella la panceta, el postre un sorbete espectacular presentacion incluida
Nota! Hay que reservar con antelación porque es pequeño el sitio.",Hace 6 meses,"Beatriz CD
Local Guide · 40 reseñas · 48 fotos






Hace 6 meses
Fuimos de celebración,el sitio es pequeño, de ambiente tranquilo, el trato es excelente y la comida es abundante así que es un buen sitio para compartir platos.
Sin duda es para repertir estaba todo delicioso, pedimos carpaccio de presa ibérica, un canelón que estaba fuera de carta, y obviamente el plato estrella la panceta, el postre un sorbete espectacular presentacion incluida
Nota! Hay que reservar con antelación porque es pequeño el sitio.
Precio por persona
30-40 €
Comida: 5
Servicio: 5
Ambiente: 5

1

Compartir"
Daniel Sánchez-Rubio,Local Guide · 64 reseñas · 111 fotos,4 estrellas,"Es un sitio donde la comida es sencillamente de nivel. Comiendo bien, sales por unos 30-35€. La relación calidad/precio es muy alta.
Le daría cinco estrellas, ya que tanto la comida como el servicio son de 10, pero hay un detalle y es que cobran el servicio de pan. Están en su derecho de hacerlo, por supuesto, pero creo que es poco elegante en un sitio de calidad y además no lo advierten.

En resumen, totalmente recomendable!",Hace un año,"Daniel Sánchez-Rubio
Local Guide · 64 reseñas · 111 fotos






Hace un año
Es un sitio donde la comida es sencillamente de nivel. Comiendo bien, sales por unos 30-35€. La relación calidad/precio es muy alta.
Le daría cinco estrellas, ya que tanto la comida como el servicio son de 10, pero hay un detalle y es que cobran el servicio de pan. Están en su derecho de hacerlo, por supuesto, pero creo que es poco elegante en un sitio de calidad y además no lo advierten.

En resumen, totalmente recomendable!
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Ana Lecha,Local Guide · 231 reseñas · 779 fotos,5 estrellas,"Absolutamente todos los platos que probamos estaban buenos! Recomiendo encarecidamente la panceta, se deshacía en la boca, nada grasa y súper sabrosa. Si quieres sorprenderte la crema de cebolla es tu plato. Volveremos a seguir probando platos. Raciones abundantes y el personal muy atento y amable.",Hace un año,"Ana Lecha
Local Guide · 231 reseñas · 779 fotos






Hace un año
Absolutamente todos los platos que probamos estaban buenos! Recomiendo encarecidamente la panceta, se deshacía en la boca, nada grasa y súper sabrosa. Si quieres sorprenderte la crema de cebolla es tu plato. Volveremos a seguir probando platos. Raciones abundantes y el personal muy atento y amable.
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
3 más

2

Compartir"
Gustavo Novellon,Local Guide · 69 reseñas · 985 fotos,5 estrellas,"Volvemos al 17punto10 y… que gozada!!!

Un servicio muy bueno, en un local muy tranquilo para disfrutar de una carta genial, de las que te quedarías una semana para acabártela.

Que rico todo! Nunca me había emocionado el carpaccio y con este flipamos mucho.

Genial para compartir platos, hasta 4 comensales, probar un poco de todo y salir muy contento.

Volveremos para seguir probando delicias.",Hace un año,"Gustavo Novellon
Local Guide · 69 reseñas · 985 fotos






Hace un año
Volvemos al 17punto10 y… que gozada!!!

Un servicio muy bueno, en un local muy tranquilo para disfrutar de una carta genial, de las que te quedarías una semana para acabártela.

Que rico todo! Nunca me había emocionado el carpaccio y con este flipamos mucho.

Genial para compartir platos, hasta 4 comensales, probar un poco de todo y salir muy contento.

Volveremos para seguir probando delicias.
2 más

Me gusta

Compartir"
Javier,Local Guide · 82 reseñas · 66 fotos,4 estrellas,"El sitio está un poco escondido, difícil para aparcar pero la atención recibida y los platos que pudimos probar fueron altamente satisfactorios. A destacar la crema de cebollas de fuentes, las croquetas. El local es amplio y por poner una pega, los postres eran un poco pesados y demasiado dulzones para nuestro gusto. En general, un restaurante con muy buenas maneras y buenos platos, cosa no fácil hoy en día",Hace 10 meses,"Javier
Local Guide · 82 reseñas · 66 fotos






Hace 10 meses
El sitio está un poco escondido, difícil para aparcar pero la atención recibida y los platos que pudimos probar fueron altamente satisfactorios. A destacar la crema de cebollas de fuentes, las croquetas. El local es amplio y por poner una pega, los postres eran un poco pesados y demasiado dulzones para nuestro gusto. En general, un restaurante con muy buenas maneras y buenos platos, cosa no fácil hoy en día
Precio por persona
40-50 €
Comida: 4
Servicio: 4
Ambiente: 3

Me gusta

Compartir"
Delfin,Local Guide · 78 reseñas · 116 fotos,5 estrellas,"Empezamos con las croquetas de bacon ibérico, ¡estaban de muerte! Muy cremosas

Las colas de langostino 🍤 no fueron nuestro plato favorito, aunque estaban ricas. ‍

Luego llegó el pulpo con oreja 🐙 (fuera de carta), ¡nos encantó! Somos fans del pulpo y este estaba perfecto.

Y como no podía faltar, la panceta 🥓, el plato estrella del lugar. ¡Simplemente espectacular!

Para cerrar con broche de oro, la crema de limón con sorbete 🍋, refrescante y deliciosa.
Sin duda, repetiremos seguro. ¡Recomendable 100%!",Hace 7 meses,"Delfin
Local Guide · 78 reseñas · 116 fotos






Hace 7 meses
Empezamos con las croquetas de bacon ibérico, ¡estaban de muerte! Muy cremosas

Las colas de langostino 🍤 no fueron nuestro plato favorito, aunque estaban ricas. ‍

Luego llegó el pulpo con oreja 🐙 (fuera de carta), ¡nos encantó! Somos fans del pulpo y este estaba perfecto.

Y como no podía faltar, la panceta 🥓, el plato estrella del lugar. ¡Simplemente espectacular!

Para cerrar con broche de oro, la crema de limón con sorbete 🍋, refrescante y deliciosa.
Sin duda, repetiremos seguro. ¡Recomendable 100%!
Precio por persona
30-40 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Panceta Asada Mojo Rojo Y Chimichurri Casero Picante
8 más

1

Compartir"
Sonia GARCIA,Local Guide · 227 reseñas · 928 fotos,4 estrellas,"Bonito restaurante en el centro aunque a su vez apartado de otros. Platos con buena presentación y buen sabor, aunque a mi gusto algunos con exceso de mayonesa o salsas similares. Recomendable, creo que volveré.",Hace un año,"Sonia GARCIA
Local Guide · 227 reseñas · 928 fotos






Hace un año
Bonito restaurante en el centro aunque a su vez apartado de otros. Platos con buena presentación y buen sabor, aunque a mi gusto algunos con exceso de mayonesa o salsas similares. Recomendable, creo que volveré.
Precio por persona
20-30 €
Platos recomendados
Croquetas de Jamón Y Gallina y Bandada de Bacalao Asadillo de Verduras Romesco Y Ajo Negro
4 más

Me gusta

Compartir"
