author,local_guide_info,rating,review,date,text_backup
Javier Fauro,Local Guide · 311 reseñas · 2.391 fotos,5 estrellas,"Platos muy elaborados, sabores espectaculares! Las croquetas, sublimes. Por supuesto, debes pedir la panceta!!!",Hace 5 meses,"Javier Fauro
Local Guide · 311 reseñas · 2.391 fotos






Hace 5 meses
Platos muy elaborados, sabores espectaculares! Las croquetas, sublimes. Por supuesto, debes pedir la panceta!!!
Precio por persona
40-50 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Langostinos Crujientes, Croquetas de Jamón Y Gallina, Carpaccio de Presa Iberica, Panceta Asada Mojo Rojo Y Chimichurri Casero Picante y Carpaccio de Lomo de Vaca
13 más

Me gusta

Compartir"
Celia Lahuerta,Local Guide · 104 reseñas · 269 fotos,5 estrellas,"Un imprescindible en Zaragoza!
Excelente calidad en los platos. Cuidando mucho el detalle.

Probamos la sobrasada, la panceta y el ravioli que estaba todo riquísimo! Sin desmerecer a las croquetas, que siempre son un éxito! 😋

Pero el gran descubrimiento fue la oreja con puré de patata!! Estaba muy muy tierna y sabrosa!

La atención es estupenda, las camareras son muy simpáticas y te aconsejan la cantidad a pedir.

Súper recomendable!!! 🙌🙌",Hace un año,"Celia Lahuerta
Local Guide · 104 reseñas · 269 fotos






Hace un año
Un imprescindible en Zaragoza!
Excelente calidad en los platos. Cuidando mucho el detalle.

Probamos la sobrasada, la panceta y el ravioli que estaba todo riquísimo! Sin desmerecer a las croquetas, que siempre son un éxito! 😋

Pero el gran descubrimiento fue la oreja con puré de patata!! Estaba muy muy tierna y sabrosa!

La atención es estupenda, las camareras son muy simpáticas y te aconsejan la cantidad a pedir.

Súper recomendable!!! 🙌🙌
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
20-30 €
Platos recomendados
Croquetas de Jamón Y Gallina, Panceta Asada Mojo Rojo Y Chimichurri Casero Picante y Oreja A la Plancha Con Patatas Revolconas

3

Compartir"
Sheyla,Local Guide · 32 reseñas · 76 fotos,5 estrellas,"Fuimos en grupo a comer aprovechando el puente.
El local está algo alejado de la zona céntrica de bares pero merece la pena acercarse dando un paseo.
La relación calidad precio es muy buena.

Platos muy ricos, mención especial a las croquetas de jamón y gallina (riquísimas).",Hace un año,"Sheyla
Local Guide · 32 reseñas · 76 fotos






Hace un año
Fuimos en grupo a comer aprovechando el puente.
El local está algo alejado de la zona céntrica de bares pero merece la pena acercarse dando un paseo.
La relación calidad precio es muy buena.

Platos muy ricos, mención especial a las croquetas de jamón y gallina (riquísimas).
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Croquetas de Jamón Y Gallina y Burrata Con Tomate Con Salmorejo

Me gusta

Compartir"
Gema Pérez,Local Guide · 54 reseñas · 192 fotos,5 estrellas,"Atención y comida maravillosa.
No sabría elegir qué me ha gustado más, todo espectacular a un precio genial.
Muy sorprendente y recomendable el postre de fruta de la pasión!!
Como detalle, en el momento pedimos una vela para poner en el postre ya que era celebración de cumpleaños: trajeron un plato, con una vela en una nube de chuche y nata, y en el plato escrito felicidades. Un detalle que nos encantó y dice mucho de ellos.",Hace un año,"Gema Pérez
Local Guide · 54 reseñas · 192 fotos






Hace un año
Atención y comida maravillosa.
No sabría elegir qué me ha gustado más, todo espectacular a un precio genial.
Muy sorprendente y recomendable el postre de fruta de la pasión!!
Como detalle, en el momento pedimos una vela para poner en el postre ya que era celebración de cumpleaños: trajeron un plato, con una vela en una nube de chuche y nata, y en el plato escrito felicidades. Un detalle que nos encantó y dice mucho de ellos.
6 más

2

Compartir"
Andrea Cabello,Local Guide · 118 reseñas · 72 fotos,5 estrellas,"Espectacular comida, trato y ambiente. Servicio impecable, comida sabrosa e innovadora. Con especial reseña en la crema de cebolla de Las Fuentes, increíble.
Gran descubrimiento. Repetiremos fijo.",Hace 11 meses,"Andrea Cabello
Local Guide · 118 reseñas · 72 fotos






Hace 11 meses
Espectacular comida, trato y ambiente. Servicio impecable, comida sabrosa e innovadora. Con especial reseña en la crema de cebolla de Las Fuentes, increíble.
Gran descubrimiento. Repetiremos fijo.
Precio por persona
30-40 €
Comida: 5
Servicio: 5
Ambiente: 4
Platos recomendados
Croquetas de Jamón Y Gallina y Panceta Asada Mojo Rojo Y Chimichurri Casero Picante
2 más

Me gusta

Compartir"
David Larreal (El del sombrero),39 reseñas · 103 fotos,3 estrellas,"Una visita en este lugar! Entre la ensalada dé burrata ( 15€) colas de langostino (15€) y un carpaccio también sobre los (15€) un total de 45€ un poco exuberante sin contar las bebidas las croquetas y el postre.  para un resultado final sobre los 60 € entre dos personas, la atención fue buena, imposible para aparcar.",Hace un año,"David Larreal (El del sombrero)
39 reseñas · 103 fotos






Hace un año
Una visita en este lugar! Entre la ensalada dé burrata ( 15€) colas de langostino (15€) y un carpaccio también sobre los (15€) un total de 45€ un poco exuberante sin contar las bebidas las croquetas y el postre.  para un resultado final sobre los 60 € entre dos personas, la atención fue buena, imposible para aparcar.
3 más

Me gusta

Compartir"
Jonathan LG,Local Guide · 34 reseñas · 96 fotos,5 estrellas,"Fuimos el fin de semana a Zaragoza y nos gustaron mucho las reseñas de este sitio (spoiler: totalmente ciertas)

Llegamos pronto, pero no habíamos reservado mesa. A pesar de todo nos hicieron un hueco ya que estaban completos y gracias a Dios... Porque menudo arroz cremoso con parmesano que tienen... Vayas a la hora que vayas el día que sea, elección obligatoria!! Posiblemente haya sido el mejor arroz de este estilo que he probado. Lo acompañamos de un carpaccio y una croqueta de cada para dos personas, nos quedamos muy bien con esa cantidad. De postre compartimos la tartaleta de manzana y el flan de queso (fuera de carta)

Si que es verdad que esperaba algo más de variedad en las cervezas, ya que en el cartel pone ""cervecería"" y solo había dos opciones.

La amabilidad del personal también resalta por encima de la media.",Hace un año,"Jonathan LG
Local Guide · 34 reseñas · 96 fotos






Hace un año
Fuimos el fin de semana a Zaragoza y nos gustaron mucho las reseñas de este sitio (spoiler: totalmente ciertas)

Llegamos pronto, pero no habíamos reservado mesa. A pesar de todo nos hicieron un hueco ya que estaban completos y gracias a Dios... Porque menudo arroz cremoso con parmesano que tienen... Vayas a la hora que vayas el día que sea, elección obligatoria!! Posiblemente haya sido el mejor arroz de este estilo que he probado. Lo acompañamos de un carpaccio y una croqueta de cada para dos personas, nos quedamos muy bien con esa cantidad. De postre compartimos la tartaleta de manzana y el flan de queso (fuera de carta)

Si que es verdad que esperaba algo más de variedad en las cervezas, ya que en el cartel pone ""cervecería"" y solo había dos opciones.

La amabilidad del personal también resalta por encima de la media.
2 más

Me gusta

Compartir"
Coupage Unique,Local Guide · 285 reseñas · 1.979 fotos,4 estrellas,"Uno de los mejores lugares de Zaragoza en relación calidad-precio.

Cocina con mucho sabor y matices. Una carta muy variada y sugerencias fuera de carta fantásticas.

Decoración moderna y servicio muy amable, siempre recomendable.",Hace un año,"Coupage Unique
Local Guide · 285 reseñas · 1.979 fotos






Hace un año
Uno de los mejores lugares de Zaragoza en relación calidad-precio.

Cocina con mucho sabor y matices. Una carta muy variada y sugerencias fuera de carta fantásticas.

Decoración moderna y servicio muy amable, siempre recomendable.
Tipo de comida
Comida
Precio por persona
30-40 €
Comida: 4
Servicio: 4
Ambiente: 4
Platos recomendados
Burrata Con Tomate Con Salmorejo y Panceta Asada Mojo Rojo Y Chimichurri Casero Picante
6 más

2

Compartir"
Dani Polo Plaza,Local Guide · 11 reseñas · 40 fotos,5 estrellas,"Un sitio muy agradable en el que probar comida de alta calidad y nuevos sabores.
Llamé en el día para realizar la reserva, y dado que tenían una gran cantidad de clientela, nos pudieron sentar en la barra, que está a la altura de una mesa normal y se podía comer confortablemente.
Las camareras, tuvieron un gran trato y fueron muy amables en todo momento.

Para comer, pedimos un foie, fuera de carta, acompañado de unas tostadas, la única pega posible, la cantidad de mostaza que venía acompañando el plato, que para nuestro gusto, le quitaba un poco el sabor.
El huevo poché,sin embargo, tenía otro concepto al que estábamos acostumbrados y no nos convenció mucho.
Para finalizar, probamos el carpaccio de lomo, que estaba espectacular; y haciendo honor al sitio, no nos quedamos con las ganas de testar la panceta asada.
Como culmen, los postres, nos sorprendieron gratamente, ya que tenían un estilo de alta cocina con el que sorprender todos tus sentidos, de obligado pedimento tanto La Crema de Fruta de la Pasión como El Cremoso de Chocolate Blanco.",Hace un año,"Dani Polo Plaza
Local Guide · 11 reseñas · 40 fotos






Hace un año
Un sitio muy agradable en el que probar comida de alta calidad y nuevos sabores.
Llamé en el día para realizar la reserva, y dado que tenían una gran cantidad de clientela, nos pudieron sentar en la barra, que está a la altura de una mesa normal y se podía comer confortablemente.
Las camareras, tuvieron un gran trato y fueron muy amables en todo momento.

Para comer, pedimos un foie, fuera de carta, acompañado de unas tostadas, la única pega posible, la cantidad de mostaza que venía acompañando el plato, que para nuestro gusto, le quitaba un poco el sabor.
El huevo poché,sin embargo, tenía otro concepto al que estábamos acostumbrados y no nos convenció mucho.
Para finalizar, probamos el carpaccio de lomo, que estaba espectacular; y haciendo honor al sitio, no nos quedamos con las ganas de testar la panceta asada.
Como culmen, los postres, nos sorprendieron gratamente, ya que tenían un estilo de alta cocina con el que sorprender todos tus sentidos, de obligado pedimento tanto La Crema de Fruta de la Pasión como El Cremoso de Chocolate Blanco.
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
70-80 €
5 más

1

Compartir"
Irene Pellegero,Local Guide · 31 reseñas · 89 fotos,5 estrellas,"Una maravilla de restaurante. Personal amabilísimo, comida siempre espectacular y precio muy competitivo. El local estaba lleno, pero sin agobiar. Pedimos croquetas, Ravioli de setas, un sashimi de atún y espárragos de Navarra con vichysoise que tenían fuera de carta, pimienticos asados, sobrasada y panceta. Todo para compartir y todo riquísimo.",Hace un año,"Irene Pellegero
Local Guide · 31 reseñas · 89 fotos






Hace un año
Una maravilla de restaurante. Personal amabilísimo, comida siempre espectacular y precio muy competitivo. El local estaba lleno, pero sin agobiar. Pedimos croquetas, Ravioli de setas, un sashimi de atún y espárragos de Navarra con vichysoise que tenían fuera de carta, pimienticos asados, sobrasada y panceta. Todo para compartir y todo riquísimo.
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
isabel g. b.,Local Guide · 21 reseñas · 2 fotos,5 estrellas,"El pasado sábado descubrimos este estupendo restaurante,  una oferta muy variada de platos. Elegimos varios para compartir y estaban todos riquísimos. Buen equilibrio entre la calidad y le precio. Atención muy amable. Seguro que repetimos",Hace 3 meses,"isabel g. b.
Local Guide · 21 reseñas · 2 fotos






Hace 3 meses
El pasado sábado descubrimos este estupendo restaurante,  una oferta muy variada de platos. Elegimos varios para compartir y estaban todos riquísimos. Buen equilibrio entre la calidad y le precio. Atención muy amable. Seguro que repetimos
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Andrés Cardona Sola,20 reseñas · 15 fotos,5 estrellas,"De las mejores cenas de mi vida, sin rodeos, sitio al que hay que ir, muy recomendable reservar, todo exquisito, presentacion muy buena, camareros muy agradables y servicio muy rápido, el sitio es muy bonito también. Pedimos los langostinos, buenísimos, el risotto, buenísimo y distinto, la menestra de setas fuera de carta, buenísima y los raviolis, que fue lo único que no me convenció, porque me gusta la pasta más al dente, aunque eso es más personal, aún así todas las salsas de todos platos están tremendas, creo que nos comimos una barra de pan untando. Los postres muy bonitos y originales, tarta de manzana, cremoso de chocolate blanco y flan de queso, este último el que más nos gustó.",Hace un año,"Andrés Cardona Sola
20 reseñas · 15 fotos






Hace un año
De las mejores cenas de mi vida, sin rodeos, sitio al que hay que ir, muy recomendable reservar, todo exquisito, presentacion muy buena, camareros muy agradables y servicio muy rápido, el sitio es muy bonito también. Pedimos los langostinos, buenísimos, el risotto, buenísimo y distinto, la menestra de setas fuera de carta, buenísima y los raviolis, que fue lo único que no me convenció, porque me gusta la pasta más al dente, aunque eso es más personal, aún así todas las salsas de todos platos están tremendas, creo que nos comimos una barra de pan untando. Los postres muy bonitos y originales, tarta de manzana, cremoso de chocolate blanco y flan de queso, este último el que más nos gustó.
3 más

Me gusta

Compartir"
Andrés Fdez,33 reseñas · 12 fotos,5 estrellas,"Ambiente muy bueno, sin ruidos y con un personal de 10. Fui a comer con mi pareja y nos trataron muy bien. La comida estaba buenísima. Comimos unas croquetas, el pulpo, los raviolis, el arroz caldoso y el postre de chocolate. Todo recomendado al 100%. No subo las fotos del pulpo porque están fatal hechas y las croquetas no hice foto.",Hace un año,"Andrés Fdez
33 reseñas · 12 fotos






Hace un año
Ambiente muy bueno, sin ruidos y con un personal de 10. Fui a comer con mi pareja y nos trataron muy bien. La comida estaba buenísima. Comimos unas croquetas, el pulpo, los raviolis, el arroz caldoso y el postre de chocolate. Todo recomendado al 100%. No subo las fotos del pulpo porque están fatal hechas y las croquetas no hice foto.
Servicio
Comí allí
Tipo de comida
Comida
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
DC Vega,13 reseñas,5 estrellas,"He ido a comer hoy con mi mujer por primera vez..
Comida excelente y atención maravillosa del personal....
No volveremos pronto... Sobre las marcha ya he reservado para ir a cenar hoy mismo con toda familia porque nos hemos quedado con ganas de probar más cosas...
Muy bueno!",Hace 3 meses,"DC Vega
13 reseñas






Hace 3 meses
He ido a comer hoy con mi mujer por primera vez..
Comida excelente y atención maravillosa del personal....
No volveremos pronto... Sobre las marcha ya he reservado para ir a cenar hoy mismo con toda familia porque nos hemos quedado con ganas de probar más cosas...
Muy bueno!
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Panceta Asada Mojo Rojo Y Chimichurri Casero Picante

Me gusta

Compartir"
Carlos Roda,Local Guide · 47 reseñas · 65 fotos,5 estrellas,"Lugar reducido, pero con mucha calidad de materia prima. Sobre 30 comensales. Platos elaborados digno de un  restaurante de alto nivel. Mucho potencial por su calidad. Servicio muy rápido y se nota que están entrenados para dar a basto a más de dos servicios por mesa sin bajar su calidad. Los postres de cual más bueno. Volveremos.",Hace 4 años,"Carlos Roda
Local Guide · 47 reseñas · 65 fotos






Hace 4 años
Lugar reducido, pero con mucha calidad de materia prima. Sobre 30 comensales. Platos elaborados digno de un  restaurante de alto nivel. Mucho potencial por su calidad. Servicio muy rápido y se nota que están entrenados para dar a basto a más de dos servicios por mesa sin bajar su calidad. Los postres de cual más bueno. Volveremos.
12 más

3

Compartir"
